international,41
day,13
disaster,2
risk,73
launched,14
multi-tiered,1
core,3
curriculum,1
to,2181
help,98
equip,1
you,273
competencies,6
needed,30
work,70
public,69
health,602
emergency,37
learning,29
today,27
shown,11
emergencies,14
disasters,3
affect,5
entire,1
communities,31
especially,35
those,61
weak,1
vulnerable,23
populations,8
like,51
indigenous,2
living,30
fragile,5
humanitarian,20
conditions,1
better,38
respond,25
countries,246
invest,9
care,9
achieve,24
gender,11
protect,63
marginalised,1
ensure,52
ready,8
equitable,26
access,125
strong,21
resilient,9
system,20
congratulations,3
country,57
africa,5
reach,31
milestone,4
fully,25
vaccinating,14
completamente,1
vacunado,2
puede,3
contraer,1
covid-19,1
no,3
importa,1
si,2
todavía,1
is,7
your,235
information,1
coming,9
verified,1
do,10
share,27
further,1
drtedros,331
must,99
appreciate,4
role,25
private,11
sector,19
played,4
response,36
development,19
vaccines,144
shortes,1
humanity,2
failing,2
miserably,1
vaccine,135
injustice,1
debating,1
whether,12
intellectual,8
property,3
rights,14
should,66
waived,1
had,39
major,29
impact,27
on,482
people,8
mentalhealth,53
doctorjas,3
dedicated,4
broad,1
administration,2
booster,15
doses,59
unjust,1
immoral,1
time,46
healthworkers,23
most,77
1951,1
enrietta,4
lacks,1
died,7
cervicalcancer,1
age,6
just,36
8,4
months,19
after,46
diagnosis,1
life,33
was,1
donations,2
aren,1
enough,17
deliver,20
end,84
pandemic,127
need,142
stronger,10
leadership,35
ramp,4
afghanistan,37
9,1
flights,1
have,408
arrived,3
total,8
metric,4
tonnes,3
supplies,44
since,24
august,6
30,1
medical,72
oxygen,1
vital,18
treating,5
critically,10
ill,16
supply,32
challenge,13
across,24
new,105
live,53
ending,1
road,7
an,171
inclusive,2
recovery,10
good,23
meet,25
who,111
will,1
soon,11
head,1
incl,4
Hub,24
Pandemic,12
ep,1
post,3
condition,1
diazjv,2
joni,2
longcovidsos,3
representative,1
clinical,5
lead,1
5pm,7
linkedin,11
ask,21
questions,20
about,143
take,45
set,16
ambitious,2
commitments,16
if,54
they,107
are,498
sustain,2
healthy,47
green,3
calls,14
assure,2
sustained,4
Ahead,1
organizations,9
representing,1
least,49
million,85
worldwide,1
calling,16
world,95
leaders,33
step,12
limiting,3
global,31
warming,2
put,36
center,4
around,84
breathe,2
unhealthy,8
levels,25
largely,3
resulting,4
burning,3
fossil,3
fuels,6
driving,9
could,25
reduce,29
number,26
deaths,62
air,21
pollution,5
80%,8
year,2
theme,5
digital,1
generation,1
digitalization,1
online,19
resources,15
can,305
enable,14
join,16
us,56
celebrate,4
worldchanging,1
legacy,4
whose,4
breakthroughs,3
polio,9
research,2
honouring,1
extreme,1
weather,4
events,6
heat,3
thousands,14
disrupt,2
millions,29
threatening,3
healthcare,11
systems,36
facilities,21
thank,34
all,245
partners,51
joining,4
goodwill,1
ambassador,4
advance,11
efforts,25
supporting,31
integrate,2
support,181
school,6
into,38
community,19
convened,1
annual,2
forum,1
asked,12
participants,2
focus,14
recognizing,2
shakira,2
name,4
hola,3
buenos,1
organization,74
hello,15
covid,20
org,5
19,5
organ,1
hey,1
orgazination,1
organizaation,1
rot,1
back,1
heyhey,1
unfair,1
feeling,2
sick,4
feel,1
getting,1
infect,1
spain,1
mask,1
keep,2
changes,1
stay,1
home,1
hospitals,1
solidarity,8
trial,2
collaboration,2
